iter	Passed	Remaining
317	672	1441
318	673	1438
319	675	1435
320	677	1432
321	678	1429
322	680	1426
323	682	1422
324	683	1419
325	685	1416
326	687	1414
327	688	1410
328	690	1407
329	691	1404
330	693	1401
331	695	1398
332	696	1395
333	698	1392
334	700	1390
335	702	1387
336	704	1385
337	705	1382
338	707	1380
339	709	1377
340	711	1374
341	712	1371
342	714	1368
343	717	1367
344	719	1365
345	721	1363
346	722	1359
347	724	1357
348	725	1354
349	727	1351
350	729	1348
351	731	1345
352	733	1343
353	735	1341
354	736	1338
355	738	1335
356	740	1332
357	741	1329
358	743	1327
359	744	1324
360	746	1321
361	748	1318
362	749	1315
363	751	1312
364	752	1309
365	754	1307
366	756	1304
367	757	1301
368	759	1298
369	760	1295
370	762	1292
371	764	1289
372	766	1287
373	768	1285
374	770	1283
375	771	1280
376	775	1281
377	779	1282
378	783	1284
379	789	1288
380	794	1290
381	798	1292
382	803	1294
383	807	1296
384	814	1300
385	818	1302
386	823	1304
387	827	1305
388	831	1306
389	840	1314
390	849	1322
391	855	1327
392	860	1329
393	862	1327
394	864	1324
395	866	1322
396	868	1319
397	870	1317
398	872	1314
399	874	1312
400	876	1309
401	878	1307
402	880	1304
403	882	1302
404	884	1299
405	886	1296
406	887	1293
407	889	1290
408	890	1287
409	892	1284
410	894	1282
411	896	1279
412	898	1276
413	899	1273
414	900	1269
415	902	1266
416	904	1263
417	905	1260
418	907	1257
419	908	1254
420	910	1251
421	911	1248
422	913	1245
423	914	1242
424	916	1240
425	918	1237
426	919	1234
427	921	1231
428	922	1228
429	924	1225
430	925	1222
431	927	1219
432	929	1217
433	931	1214
434	933	1212
435	935	1209
436	936	1206
437	938	1204
438	940	1201
439	941	1198
440	943	1195
441	944	1192
442	946	1189
443	948	1187
444	949	1184
445	951	1181
446	952	1178
447	954	1175
448	955	1173
449	957	1170
450	959	1167
451	960	1164
452	962	1162
453	964	1159
454	965	1156
455	967	1153
456	968	1151
457	970	1149
458	973	1147
459	975	1145
460	977	1143
461	981	1143
462	983	1140
463	984	1137
464	986	1135
465	988	1132
466	989	1129
467	991	1127
468	993	1124
469	994	1121
470	996	1119
471	998	1116
472	999	1113
473	1001	1111
474	1003	1108
475	1004	1106
476	1006	1103
477	1008	1100
478	1009	1098
479	1011	1095
480	1012	1092
481	1014	1090
482	1016	1087
483	1017	1084
484	1019	1082
485	1020	1079
486	1022	1077
487	1024	1074
488	1026	1072
489	1028	1070
490	1031	1069
491	1034	1068
492	1036	1066
493	1040	1065
494	1042	1063
495	1045	1062
496	1047	1060
497	1051	1059
498	1055	1059
499	1058	1058
500	1063	1059
501	1067	1059
502	1071	1058
503	1075	1058
504	1079	1058
505	1083	1058
506	1087	1057
507	1090	1056
508	1093	1054
509	1097	1054
510	1099	1052
511	1101	1049
512	1102	1046
513	1104	1044
514	1105	1041
515	1107	1038
516	1110	1037
517	1114	1036
518	1117	1035
519	1121	1035
520	1126	1035
521	1129	1034
522	1131	1031
523	1135	1031
524	1140	1031
525	1144	1031
526	1148	1031
527	1153	1031
528	1157	1030
529	1162	1030
530	1167	1030
531	1170	1029
532	1173	1028
533	1178	1028
534	1182	1027
535	1185	1026
536	1188	1025
537	1191	1023
538	1194	1021
539	1197	1019
540	1200	1018
541	1203	1017
542	1207	1015
543	1211	1015
544	1212	1012
545	1214	1009
546	1215	1006
547	1217	1004
548	1218	1001
549	1220	998
550	1222	995
551	1223	993
552	1225	990
553	1226	987
554	1228	984
555	1229	982
556	1231	979
557	1233	976
558	1234	974
559	1238	973
560	1241	971
561	1242	968
562	1244	965
563	1245	963
564	1247	960
565	1249	957
566	1250	955
567	1253	953
568	1256	951
569	1257	948
570	1259	946
571	1261	943
572	1262	940
573	1264	938
574	1265	935
575	1267	932
576	1268	930
577	1270	927
578	1272	924
579	1273	922
580	1275	919
581	1276	916
582	1278	914
583	1279	911
584	1281	909
585	1283	906
586	1284	903
587	1286	901
588	1287	898
589	1289	896
590	1290	893
591	1292	890
592	1294	888
593	1295	885
594	1297	883
595	1298	880
596	1300	877
597	1301	875
598	1303	872
599	1307	871
600	1311	870
601	1316	870
602	1320	869
603	1322	867
604	1325	865
605	1326	862
606	1328	860
607	1330	858
608	1333	856
609	1335	853
610	1337	851
611	1339	849
612	1340	846
613	1342	844
614	1344	841
615	1348	840
616	1349	837
617	1352	835
618	1354	833
619	1356	831
620	1358	829
621	1360	826
622	1361	824
623	1363	821
624	1365	819
625	1366	816
626	1368	813
627	1369	811
628	1371	809
629	1373	806
630	1375	804
631	1376	801
632	1378	799
633	1380	796
634	1381	794
635	1383	791
636	1385	789
637	1387	786
638	1388	784
639	1390	782
640	1391	779
641	1393	777
642	1395	774
643	1396	772
644	1398	769
645	1400	767
646	1401	764
647	1403	762
648	1404	759
649	1406	757
650	1408	754
651	1409	752
652	1411	749
653	1412	747
654	1414	744
655	1416	742
656	1417	740
657	1419	737
658	1421	735
659	1422	732
660	1424	730
661	1426	728
662	1427	725
663	1429	723
664	1431	721
665	1433	718
666	1436	716
667	1440	716
668	1445	715
669	1449	713
670	1453	712
671	1457	711
672	1462	710
673	1468	710
674	1473	709
675	1476	707
676	1481	706
677	1485	705
678	1489	704
679	1494	703
680	1498	701
681	1502	700
682	1507	699
683	1511	698
684	1513	695
685	1515	693
686	1517	691
687	1519	688
688	1520	686
689	1522	684
690	1524	681
691	1526	679
692	1528	677
693	1530	674
694	1532	672
695	1534	670
696	1536	667
697	1538	665
698	1540	663
699	1542	661
700	1544	658
701	1546	656
702	1548	654
703	1550	652
704	1552	649
705	1554	647
706	1557	645
707	1559	643
708	1561	640
709	1563	638
710	1567	637
711	1569	634
712	1571	632
713	1573	630
714	1576	628
715	1577	625
716	1579	623
717	1581	621
718	1582	618
719	1584	616
720	1586	613
721	1587	611
722	1589	609
723	1591	606
724	1592	604
725	1594	601
726	1596	599
727	1598	597
728	1600	595
729	1603	593
730	1605	590
731	1607	588
732	1609	586
733	1610	583
734	1612	581
735	1614	578
736	1615	576
737	1617	574
738	1619	571
739	1620	569
740	1622	567
741	1623	564
742	1625	562
743	1627	559
744	1628	557
745	1630	555
746	1632	552
747	1634	550
748	1635	548
749	1637	545
750	1639	543
751	1640	541
752	1642	538
753	1644	536
754	1645	534
755	1647	531
756	1649	529
757	1650	527
758	1652	524
759	1654	522
760	1656	520
761	1657	517
762	1659	515
763	1661	513
764	1663	510
765	1664	508
766	1666	506
767	1668	503
768	1669	501
769	1671	499
770	1673	496
771	1674	494
772	1676	492
773	1678	489
774	1679	487
775	1681	485
776	1683	483
777	1684	480
778	1686	478
779	1688	476
780	1690	473
781	1691	471
782	1693	469
783	1695	467
784	1696	464
785	1698	462
786	1700	460
787	1701	457
788	1703	455
789	1705	453
790	1706	451
791	1708	448
792	1710	446
793	1711	444
794	1713	441
795	1715	439
796	1716	437
797	1718	434
798	1720	432
799	1721	430
800	1723	428
801	1725	425
802	1726	423
803	1728	421
804	1730	419
805	1732	416
806	1733	414
807	1735	412
808	1737	410
809	1738	407
810	1740	405
811	1742	403
812	1743	401
813	1745	398
814	1747	396
815	1749	394
816	1750	392
817	1752	389
818	1756	388
819	1759	386
820	1761	383
821	1762	381
822	1764	379
823	1766	377
824	1767	374
825	1769	372
826	1771	370
827	1772	368
828	1774	365
829	1775	363
830	1777	361
831	1779	359
832	1780	357
833	1782	354
834	1784	352
835	1785	350
836	1787	348
837	1789	345
838	1794	344
839	1797	342
840	1801	340
841	1805	338
842	1809	337
843	1813	335
844	1817	333
845	1820	331
846	1824	329
847	1827	327
848	1832	325
849	1836	324
850	1841	322
851	1845	320
852	1849	318
853	1853	316
854	1856	314
855	1858	312
856	1860	310
857	1862	308
858	1864	305
859	1867	303
860	1872	302
861	1875	300
862	1879	298
863	1882	296
864	1884	294
865	1886	291
866	1887	289
867	1889	287
868	1890	285
869	1892	282
870	1894	280
871	1895	278
872	1897	276
873	1898	273
874	1900	271
875	1902	269
876	1903	267
877	1905	264
878	1907	262
879	1908	260
880	1910	258
881	1912	255
882	1914	253
883	1915	251
884	1917	249
885	1919	246
886	1920	244
887	1922	242
888	1924	240
889	1927	238
890	1929	235
891	1930	233
892	1932	231
893	1934	229
894	1935	227
895	1937	224
896	1939	222
897	1940	220
898	1942	218
899	1943	215
900	1945	213
901	1947	211
902	1949	209
903	1950	207
904	1952	204
905	1954	202
906	1955	200
907	1957	198
908	1959	196
909	1960	193
910	1962	191
911	1964	189
912	1965	187
913	1967	185
914	1968	182
915	1970	180
916	1972	178
917	1973	176
918	1975	174
919	1976	171
920	1978	169
921	1979	167
922	1981	165
923	1982	163
924	1984	160
925	1986	158
926	1987	156
927	1989	154
928	1990	152
929	1992	149
930	1994	147
931	1995	145
932	1997	143
933	1998	141
934	2000	139
935	2004	137
936	2006	134
937	2008	132
938	2009	130
939	2011	128
940	2013	126
941	2014	124
942	2016	121
943	2018	119
944	2019	117
945	2021	115
946	2023	113
947	2025	111
948	2026	108
949	2028	106
950	2030	104
951	2031	102
952	2033	100
953	2035	98
954	2036	95
955	2038	93
956	2040	91
957	2041	89
958	2043	87
959	2045	85
960	2047	83
961	2049	80
962	2050	78
963	2052	76
964	2054	74
965	2055	72
966	2057	70
967	2059	68
968	2060	65
969	2062	63
970	2064	61
971	2065	59
972	2067	57
973	2069	55
974	2071	53
975	2073	50
976	2075	48
977	2077	46
978	2078	44
979	2080	42
980	2082	40
981	2084	38
982	2086	36
983	2087	33
984	2089	31
985	2091	29
986	2092	27
987	2094	25
988	2095	23
989	2097	21
990	2099	19
991	2101	16
992	2104	14
993	2106	12
994	2108	10
995	2111	8
996	2113	6
997	2115	4
998	2120	2
999	2124	0
