iter	RMSE
128	0.2247937033
129	0.2247489602
130	0.2245212256
131	0.2244030192
132	0.2243390413
133	0.2241241328
134	0.2240005804
135	0.2239320227
136	0.2237339174
137	0.22354733
138	0.2234648262
139	0.2232775892
140	0.2231985385
141	0.2231094006
142	0.2230011943
143	0.2228722889
144	0.2227859221
145	0.2226415382
146	0.2225956809
147	0.2225415156
148	0.2224728958
149	0.2223505745
150	0.2222775023
151	0.2221712666
152	0.2220399551
153	0.2219856274
154	0.2219064337
155	0.2217970456
156	0.2217126264
157	0.221651141
158	0.2214602899
159	0.2214012795
160	0.2212734784
161	0.2211812475
162	0.2211580326
163	0.2210673152
164	0.221044808
165	0.2209134008
166	0.2208218456
167	0.2206893512
168	0.2206315136
169	0.2205151565
170	0.220420634
171	0.2203225248
172	0.2201461823
173	0.2200914657
174	0.2200141182
175	0.2199373606
176	0.2198721663
177	0.2198538608
178	0.219762691
179	0.2196425117
180	0.2195385695
181	0.2194011279
182	0.2192700748
183	0.2191746567
184	0.2190666085
185	0.2189766751
186	0.2188922495
187	0.2187915787
188	0.2187297367
189	0.2186588643
190	0.2186044375
191	0.2185127165
192	0.218423031
193	0.2182567744
194	0.218143589
195	0.2180678542
196	0.217951567
197	0.2178297543
198	0.2177139153
199	0.2176455651
200	0.2175420083
201	0.2174721103
202	0.2173756114
203	0.2173247408
204	0.2172307142
205	0.2171212088
206	0.2169962044
207	0.2168511757
208	0.2167643582
209	0.2166698288
210	0.2165314409
211	0.2162883366
212	0.2161873425
213	0.2161248919
214	0.2159434936
215	0.2159043611
216	0.2158470981
217	0.2157267306
218	0.2156719
219	0.215573166
220	0.215518738
221	0.2154138894
222	0.2152497781
223	0.2151088631
224	0.2150684774
225	0.2150054406
226	0.2149405144
227	0.2147923834
228	0.2146659542
229	0.2145797992
230	0.2144768162
231	0.2143878863
232	0.2142621984
233	0.2140283291
234	0.2139481236
235	0.2139017433
236	0.2137866131
237	0.2137330811
238	0.2135344725
239	0.2134912425
240	0.2133948751
241	0.2132957243
242	0.2132187035
243	0.2131798228
244	0.2130923894
245	0.2129960967
246	0.2129009135
247	0.21285258
248	0.2126575043
249	0.2125898689
250	0.2125475676
251	0.212456765
252	0.2124088086
253	0.2122785211
254	0.2122154744
255	0.2121269128
256	0.2120625792
257	0.212012705
258	0.2119080779
259	0.2118025591
260	0.2116866365
261	0.2116310966
262	0.2115087417
263	0.2114325336
264	0.2113921321
265	0.2112456687
266	0.2111997239
267	0.2111272544
268	0.2110428833
269	0.2109591784
270	0.2108112559
271	0.2107654477
272	0.2106876373
273	0.2105843169
274	0.2105096131
275	0.2104343401
276	0.2103729499
277	0.2102654572
278	0.2102240607
279	0.2101803133
280	0.2100345038
281	0.2099325221
282	0.2098241565
283	0.2096772109
284	0.2095969214
285	0.2095543971
286	0.2094624026
287	0.2093523458
288	0.2092608826
289	0.209174104
290	0.2090838247
291	0.2089990402
292	0.2089180057
293	0.2088565797
294	0.2087717419
295	0.208679597
296	0.2085627808
297	0.2085078092
298	0.2084250235
299	0.208272489
300	0.2082431213
301	0.2081686757
302	0.2080866866
303	0.2080363523
304	0.2079195478
305	0.2078427836
306	0.2077675643
307	0.2076727506
308	0.2075812684
309	0.2074663373
310	0.2074155708
311	0.2073414699
312	0.2072594083
313	0.2070874876
314	0.2069686082
315	0.2069361644
316	0.206835537
317	0.2067504786
318	0.2066446604
319	0.2066038113
320	0.2064947404
321	0.2064123646
322	0.2062739718
323	0.2062131571
324	0.2060780342
325	0.2060299465
326	0.2058956265
327	0.2057881079
328	0.2057068995
329	0.2056228591
330	0.2055661578
331	0.2054357085
332	0.2054115147
333	0.2053281924
334	0.2052836318
335	0.2052455511
336	0.2051817813
337	0.2051272857
338	0.2050767529
339	0.2050223432
340	0.2048453663
341	0.2047627818
342	0.2047389684
343	0.204667905
344	0.2045567221
345	0.2045114091
346	0.2044438059
347	0.2043981797
348	0.2042768636
349	0.2042223093
350	0.2041642253
351	0.2041070271
352	0.204072166
353	0.204002259
354	0.2039158717
355	0.2038231579
356	0.2037646868
357	0.2037218112
358	0.2036545761
359	0.2035964398
360	0.2034915337
361	0.2033790785
362	0.2032358961
363	0.203145868
364	0.2030511691
365	0.2029886553
366	0.2029249331
367	0.2029031433
368	0.2028188659
369	0.2027517149
370	0.2026976415
371	0.2026114645
372	0.2025038895
373	0.2024610146
374	0.2024239635
375	0.2023405711
376	0.2022659268
377	0.2022480609
378	0.2021694786
379	0.2021107392
380	0.2020497572
381	0.2018806369
382	0.2017463532
383	0.2016021586
384	0.2015317984
385	0.2014419072
386	0.2013828735
387	0.2013411094
388	0.201269585
389	0.2012181516
390	0.2011421364
391	0.201069327
392	0.2009709256
393	0.2008636455
394	0.2008365146
395	0.2007973975
396	0.2007259333
397	0.2006460248
398	0.2005828228
399	0.2005481011
400	0.2004997127
401	0.2004442584
402	0.2004009393
403	0.2003470321
404	0.2002767584
405	0.2001414825
406	0.2001246578
407	0.2000671818
408	0.2000142711
409	0.1999392868
410	0.1998954999
411	0.1998431438
412	0.1998115429
413	0.1997342501
414	0.1997294415
415	0.199681252
416	0.1996334738
417	0.1996109729
418	0.1995498118
419	0.1995151754
420	0.1994346018
421	0.1993753131
422	0.1993176145
423	0.1992517508
424	0.1991751037
425	0.1991236815
426	0.1990640513
427	0.1990407158
428	0.198955278
429	0.1989175845
430	0.1988463506
431	0.1988124172
432	0.1987710411
433	0.1986927323
434	0.1986079719
435	0.1985201852
436	0.1984789317
437	0.1984135722
438	0.1983004815
439	0.1982519759
440	0.198150395
441	0.198063518
442	0.1980147835
443	0.1979815592
444	0.1979391801
445	0.1978809379
446	0.1977931131
447	0.1977789081
448	0.1977294419
449	0.1976711804
450	0.1975962097
451	0.1975347312
452	0.1974476385
453	0.1973737265
454	0.1973282805
455	0.1972656095
456	0.1971794481
457	0.1971514488
458	0.1970616761
459	0.1969812478
460	0.1969410131
461	0.1968753997
462	0.1968069525
463	0.1967494507
464	0.1967216132
465	0.1967038934
466	0.196600862
467	0.1965654268
468	0.1964564847
469	0.1964420668
470	0.1963547804
471	0.1962827665
472	0.1962456702
473	0.1961828347
474	0.1961084909
475	0.1960464145
476	0.1960130427
477	0.1959161107
478	0.1958422094
479	0.1957882312
480	0.195769848
481	0.1957180496
482	0.1956112744
483	0.1955370127
484	0.1954621884
485	0.1954097777
486	0.1953527101
487	0.1952905225
488	0.1951884747
489	0.195143549
490	0.1951038579
491	0.1950462334
492	0.1949811392
493	0.1948915836
494	0.1948350901
495	0.1947653922
496	0.1947215634
497	0.1946615716
498	0.1946084847
499	0.1944981512
500	0.1944058841
501	0.1943690097
502	0.1943170303
503	0.1942703331
504	0.1942345542
505	0.1941092067
506	0.1940550893
507	0.1939886132
508	0.1939562456
509	0.1938959203
510	0.1938484775
511	0.1938010582
512	0.1937650184
513	0.1937056017
514	0.1936621961
515	0.1936041701
516	0.1935793157
517	0.193528857
518	0.1934791901
519	0.1934450339
520	0.1933650712
521	0.1933293659
522	0.1933226086
523	0.1932950433
524	0.1932551416
525	0.1932196027
526	0.1931903273
527	0.1931173549
528	0.1930570604
529	0.1930009173
530	0.1929273915
531	0.1928993834
532	0.1928199019
533	0.1927703237
534	0.1927277772
535	0.1927144051
536	0.1926691999
537	0.1926137993
538	0.192582428
539	0.1925281391
540	0.1925038751
541	0.1924463898
542	0.1923719973
543	0.1923187117
544	0.1922513339
545	0.1921636557
546	0.1921397017
547	0.192102417
548	0.1920607984
549	0.192022044
550	0.1919667392
551	0.1919213264
552	0.1918732849
553	0.1918182515
554	0.1917869422
555	0.1917230061
556	0.1916404137
557	0.1915971718
558	0.1915337888
559	0.1914528549
560	0.1913801394
561	0.1912707759
562	0.1912250138
563	0.1911860996
564	0.1911245093
565	0.1911008619
566	0.1910456387
567	0.1909891947
568	0.1909256449
569	0.1909019628
570	0.1908458937
571	0.1908122547
572	0.1907927112
573	0.1907361833
574	0.1906921383
575	0.1906664257
576	0.1906074984
577	0.1905826265
578	0.1905459561
579	0.1905114512
580	0.1904728953
581	0.1904449623
582	0.19039789
583	0.1903514587
584	0.1903250492
585	0.1902794665
586	0.1902205025
587	0.1901846871
588	0.1901261931
589	0.1900924635
590	0.1900134145
591	0.189986098
592	0.189928269
593	0.1898648172
594	0.1898046795
595	0.189763811
596	0.1897422805
597	0.1896510577
598	0.1896035082
599	0.1895679227
600	0.189504265
601	0.1894662653
602	0.189426362
603	0.1893463242
604	0.1892935194
605	0.1892619163
606	0.1892084932
607	0.1891367848
608	0.1890638221
609	0.1890085858
610	0.1889782487
611	0.1889527341
612	0.1889032475
613	0.1888814265
614	0.1887857967
615	0.1887192148
616	0.188699104
617	0.1886730788
618	0.1886052038
619	0.188550199
620	0.1884902558
621	0.188422848
622	0.1883473866
623	0.1883047144
624	0.1882594774
625	0.1882203273
626	0.18814367
627	0.1881059438
628	0.1880628486
629	0.1880062218
630	0.1879703971
631	0.1879297869
632	0.187910696
633	0.1878750739
634	0.1878544323
635	0.1878310888
636	0.1878020422
637	0.1877391807
638	0.1877069283
639	0.187656995
640	0.1875998101
641	0.1875758517
642	0.1875506737
643	0.1875265511
644	0.1874662606
645	0.1874163096
646	0.1873779109
647	0.1873556541
648	0.1873222919
649	0.187296037
650	0.1872801562
651	0.18724298
652	0.1872271856
653	0.1871814749
654	0.1871465071
655	0.1871057478
656	0.1870843958
657	0.1870351276
658	0.1870015739
659	0.1869482159
660	0.1869082242
661	0.1868749402
662	0.1868277063
663	0.1867967197
664	0.1867590424
665	0.1867086947
666	0.1866649101
667	0.1866366336
668	0.1865905838
669	0.1865471545
670	0.1865239971
671	0.1864843496
672	0.1863860408
673	0.1863511663
674	0.1863137516
675	0.1862677418
676	0.1862175602
677	0.1861708577
678	0.1861619228
679	0.1861081398
680	0.186068467
681	0.1860294583
682	0.185979941
683	0.1859122556
684	0.1858798219
685	0.1858147119
686	0.1857676393
687	0.1857388484
688	0.1857115074
689	0.1856817535
690	0.1856240792
691	0.1855698591
692	0.185537245
693	0.1854964757
694	0.1854573529
695	0.1854354188
696	0.1854107362
697	0.1853678592
698	0.1853335118
699	0.1852970302
700	0.1852467496
701	0.1851525837
702	0.1851222103
703	0.1850759051
704	0.1850671251
705	0.1850213089
706	0.1849887566
707	0.1849432066
708	0.1848927484
709	0.1848334151
710	0.1848242994
711	0.1848007185
712	0.1847605023
713	0.1847193061
714	0.18466707
715	0.1846237798
716	0.1845864715
717	0.184552065
718	0.1845054888
719	0.1844405656
720	0.1843976184
721	0.1843638566
722	0.1843478667
723	0.1842834903
724	0.1842548304
725	0.1842248556
726	0.1842000069
727	0.1841842648
728	0.1841410067
729	0.1841148455
730	0.1840772852
731	0.1840479866
732	0.1840064932
733	0.1839646714
734	0.1839270139
735	0.1838810201
736	0.1838580275
737	0.1838330717
738	0.1837961248
739	0.1837613778
740	0.1837256522
741	0.1837103829
742	0.1836794948
743	0.1836463931
744	0.1836114269
745	0.1835569637
746	0.1834673818
747	0.1834314529
748	0.1833933242
749	0.1833719784
750	0.1833371184
751	0.1833037725
752	0.1832701639
753	0.1832425409
754	0.1832121851
755	0.1831644787
756	0.1831286773
757	0.1831094569
758	0.1830817983
759	0.1830055328
760	0.1829632022
761	0.1829284231
762	0.1828912263
763	0.1828671993
764	0.1828136167
765	0.1827400583
766	0.182692445
767	0.1826381182
768	0.182609219
769	0.1825890585
770	0.182535472
771	0.1825122312
772	0.1824768569
773	0.1824309794
774	0.1824054305
775	0.1823562006
776	0.1823311678
777	0.1823087781
778	0.182277763
779	0.1822469179
780	0.1822200468
781	0.1821857807
782	0.1821385053
783	0.1821154429
784	0.1820942671
785	0.1820528178
786	0.182035568
787	0.1819773063
788	0.1819375443
789	0.1818925671
790	0.1818441403
791	0.1817982845
792	0.1817754462
793	0.1817472367
794	0.1817070758
795	0.1816741766
796	0.1816500529
797	0.1816252807
798	0.1815948995
799	0.1815376607
800	0.181501115
801	0.181464351
802	0.1814379464
803	0.181388382
804	0.1813656864
805	0.1813414248
806	0.1812890123
807	0.1812550172
808	0.1812072163
809	0.1811723459
810	0.181135632
811	0.1810855703
812	0.1810515693
813	0.1810055461
814	0.1809539715
815	0.1809122494
816	0.1808830714
817	0.1808704783
818	0.1808043364
819	0.1807570517
820	0.1807337496
821	0.1806917544
822	0.180638716
823	0.1806092043
824	0.1805667914
825	0.1805153302
826	0.1804984789
827	0.1804712151
828	0.1804199543
829	0.1803647941
830	0.1803183677
831	0.1802864882
832	0.1802394102
833	0.1802129332
834	0.1801619921
835	0.1801365778
836	0.18009564
837	0.1800441635
838	0.1800001725
839	0.1799734909
840	0.1799529539
841	0.1799433781
842	0.1799089875
843	0.1798808493
844	0.1798473738
845	0.17981968
846	0.1797778995
847	0.1797507589
848	0.1797102534
849	0.1796751995
850	0.1796271254
851	0.1795953171
852	0.1795702725
853	0.1795253982
854	0.1795066406
855	0.1794734968
856	0.1794502152
857	0.179393733
858	0.1793805672
859	0.1793203578
860	0.1793000866
861	0.1792682583
862	0.1792395174
863	0.1792008864
864	0.1791580169
865	0.1791202169
866	0.1790966831
867	0.1790773374
868	0.1790647662
869	0.1790345199
870	0.17898593
871	0.1789220317
872	0.1788819889
873	0.1788396346
874	0.1788150694
875	0.178769544
876	0.1787582633
877	0.1787274738
878	0.1786890086
879	0.1786513019
880	0.1786169731
881	0.1785728268
882	0.1785426457
883	0.1785015146
884	0.1784726015
885	0.1784362703
886	0.1784161978
887	0.1783799338
888	0.1783636535
889	0.1783317935
890	0.1783099886
891	0.1782603962
892	0.1782453773
893	0.1782200276
894	0.1781967553
895	0.1781882269
896	0.1781639983
897	0.1781428555
898	0.1781225075
899	0.1780840466
900	0.1780536964
901	0.1780346412
902	0.1780045961
903	0.1779714973
904	0.1779513179
905	0.1779254999
906	0.1778892909
907	0.177856213
908	0.1777987862
909	0.1777878363
910	0.1777379807
911	0.1777063714
912	0.1776671877
913	0.1776422002
914	0.1776238916
915	0.1775918979
916	0.1775509527
917	0.1775229025
918	0.1774871067
919	0.1774545737
920	0.1774251258
921	0.1773882741
922	0.1773428249
923	0.1773127818
924	0.1772873063
925	0.1772434595
926	0.1772169309
927	0.1772041176
928	0.1771863405
929	0.177130215
930	0.1770765922
931	0.1770591918
932	0.1770330435
933	0.177003994
934	0.1769731227
935	0.1769245995
936	0.1768872983
937	0.1768577806
938	0.1768450256
939	0.1768247525
940	0.1767989144
941	0.176752251
942	0.1767257199
943	0.1767102365
944	0.1766699094
945	0.1766429731
946	0.1766213826
947	0.1765726439
948	0.1765541286
949	0.1764900034
950	0.1764651422
951	0.1764442429
952	0.1764151638
953	0.1763713107
954	0.1763569947
955	0.1763320548
956	0.1763156898
957	0.1762901133
958	0.1762411381
959	0.1761975402
960	0.1761636044
961	0.176143804
962	0.1761217113
963	0.1760677001
964	0.176046431
965	0.1760106355
966	0.1759874021
967	0.1759530069
968	0.1759293352
969	0.1758998657
970	0.1758612518
971	0.1758073767
972	0.1757696667
973	0.1757378839
974	0.1757071467
975	0.1756915228
976	0.1756710227
977	0.1756462812
978	0.175605643
979	0.1755717066
980	0.1755450843
981	0.1755225179
982	0.1755064898
983	0.175474704
984	0.1754433725
985	0.1754272508
986	0.1754035555
987	0.1753825671
988	0.1753595053
989	0.1753359278
990	0.1753015941
991	0.1752848335
992	0.1752548855
993	0.1752438373
994	0.1752188229
995	0.1751819684
996	0.1751555586
997	0.1751283642
998	0.1750943036
999	0.1750631319
